id,variationProductId,name,brand,productEAN,productMerchandiseCategory,productBadges,productColor,productColorRefinement,productRating,productSize,customDimension1,promotionCallOutMessage,variant,category,primaryCategoryId,productSecondaryNavigationCategory,productCategoryLevel1,productCategoryLevel2,productCategoryLevel3,productCategoryLevel4,productCategoryLevel5,productCategoryLevel6,productCategoryLevel7,productChannelType,price,productThenPrice
N226640,N226640,Samsung Galaxy S24 Ultra 256GB - Titanium Black,Samsung,8806095345635,na,badge_lowstock|badge_bonus-item-click,na,na,3.3,na,,na,False,mobilesmartdevices/mobilesmartdevices-phones/mobilesmartdevices-phones-smartphones/mobilesmartdevices-phones-smartphones-android,mobilesmartdevices-phones-smartphones-android,brandstore/brandstore-samsung/brandstoresamsung-newrelease/brandstoresamsung-newrelease-s24ultra|mobilesmartdevices/mobilesmartdevices-phones/mobilesmartdevices-phones-smartphones/mobilesmartdevices-phones-smartphones-android/mobilesmartdevices-phones-smartphones-android-samsunggalaxy|brandstore/brandstore-samsung/brandstoresamsung-phones/brandstoresamsung-newrelease-s24ultra-1,mobilesmartdevices,mobilesmartdevices-phones,mobilesmartdevices-phones-smartphones,mobilesmartdevices-phones-smartphones-android,na,na,na,all channels,2449.00,2449.00
N223945,N223945,Samsung Galaxy Tab A9+ 11.0 Inch WIFI 64GB Grey,Samsung,8806095279596,na,badge_lowstock,na,na,4.4,na,,na,False,mobilesmartdevices/mobilesmartdevices-tabletsereaders/mobilesmartdevices-tabletsereaders-tablets/mobilesmartdevices-tabletsereaders-tablets-android,mobilesmartdevices-tabletsereaders-tablets-android,byod/byod-androidtablets|MTE-Placeholders/blackfriday/blackfriday-mobilephonestablets/blackfriday-mobilephones|MTE-Placeholders/blackfriday/blackfriday-mobilesmartdevices/blackfriday-mobilesmartdevices-tabletsereaders,mobilesmartdevices,mobilesmartdevices-tabletsereaders,mobilesmartdevices-tabletsereaders-tablets,mobilesmartdevices-tabletsereaders-tablets-android,na,na,na,all channels,499.00,499.00
N218307,N218307,"Samsung 65"" CU8000 Crystal UHD Smart TV 2023",Samsung,8806094812831,na,badge_lowstock,na,na,4.6,na,,na,False,homeentertainment/homeentertainment-televisions/homeentertainment-televisions-uhdtvs,homeentertainment-televisions-uhdtvs,labourweekenddeals/labourweekenddeals-televisions|boxingday/boxingday-deals/boxingday-deals-25off|brandstore/brandstore-samsung/brandstoresamsung-tvav|dailydeals/dailydeals-17Dec23|labourweekenddeals/labourweekenddeals-deals/labourweekenddeals-deals-upto25off|dailydeals/dailydeals-17Dec23/dailydeals-17Dec23-20poffsamsungtelevisions|hiddenCategories/unmanagedFeeds/unmanagedFeeds-OversizedProducts|MTE-Placeholders/eastersale/eastersale-deals/eastersale-deals-upto25offtvshomeaudio|massivesellout/massivesellout-televisions|MTE-Placeholders/singlesday|MTE-Placeholders/blackfriday/blackfriday-homeentertainment/blackfriday-homeentertainment-televisions|MTE-Placeholders/blackfriday/blackfriday-deals/blackfriday-deals-upto30off|brandstore/brandstore-samsung/brandstoresamsung-tvav/topbrands-samsung-samsungtvandav-samsungtvs|MTE-Placeholders/blackfriday/blackfriday-homeentertainment|MTE-Placeholders/supersale/supersale-deals/supersale-deals-upto25offsamsunglgtvs|MTE-Placeholders/eastersale/eastersale-homeentertainment|MTE-Placeholders/supersale/supersale-deals/supersale-deals-upto25off|MTE-Placeholders/eastersale/eastersale-deals/eastersale-deals-upto25off|birthdaydeals/birthdaydeals-homeentertainment/birthdaydeals-entertainment-televisions|boxingday/boxingday-homeentertainment|MTE-Placeholders/supersale/supersale-homeentertainment,homeentertainment,homeentertainment-televisions,homeentertainment-televisions-uhdtvs,na,na,na,na,all channels,1899.00,1899.00
N220506,N220506,GoPro HERO 12 BLACK,GoPro,810116380282,na,hot-price|badge_bonus-item-click|badge_lowstock,na,na,5,na,,na,False,photovideo/photovideo-videography/photovideo-videography-actioncameras,photovideo-videography-actioncameras,giftingguide|labourweekenddeals/labourweekenddeals-moregreatdeals|MTE-Placeholders/giantdeals/giantdeals-accessories|MTE-Placeholders/blackfriday/blackfriday-moregreatdeals|giftingguide/giftingguide-fitnessgifts|giantstorewideclearance/blackfriday-photovideo/blackfriday-photovideo-videography|giftingguide/giftingguide-portabletech|giftingguide/giftingguide-forhim|massivesellout/massivesellout-photovideo|giftingguide/giftingguide-summeressentials|giftingguide/giftingguide-toptechgifts,photovideo,photovideo-videography,photovideo-videography-actioncameras,na,na,na,na,all channels,688.00,688.00
N223303,N223303,Lenovo IdeaPad Slim 1 15.6 Inch FHD AMD Ryzen 7-5700U 16GB RAM 512GB SSD Windows 11 Home Notebook - Cloud Grey,Lenovo,0197532883505,na,na,na,na,4.8,na,,na,False,computersofficetech/computersofficetech-computers/computersofficetech-computers-laptops,computersofficetech-computers-laptops,MTE-Placeholders/eastersale/eastersale-computersprinters|labourweekenddeals/labourweekenddeals-deals/labourweekenddeals-deals-20off|MTE-Placeholders/blackfriday/blackfriday-deals/blackfriday-deals-25off|computersofficetech/computersofficetech-computers|MTE-Placeholders/giantdeals/giantdeals-computers|MTE-Placeholders/eastersale/eastersale-deals/eastersale-deals-upto25off|labourweekenddeals/labourweekenddeals-computersofficetech/labourweekenddeals-computersofficetech-computerstablets|backtouni/backtouni-notebooks|MTE-Placeholders/blackfriday/blackfriday-computersofficetech/blackfriday-computersofficetech-computers|MTE-Placeholders/blackfriday/blackfriday-computersofficetech/blackfriday-computersofficetech-computers/blackfriday-computers-1|boxingday/boxingday-computersprinting|MTE-Placeholders/blackfriday/blackfriday-computersprinters/blackfriday-computers|computersofficetech/computersofficetech-computers/computersofficetech-computers-laptops/computersofficetech-computers-laptops-windowsnotebooks,computersofficetech,computersofficetech-computers,computersofficetech-computers-laptops,na,na,na,na,all channels,1499.00,1499.00
N206957,N206957,Navman MiVue150 Safety Tag Dashcam,Navman,4713264285361,na,na,na,na,4.1,na,,na,False,mobilesmartdevices/mobilesmartdevices-incardevices/mobilesmartdevices-incardevices-dashcams,mobilesmartdevices-incardevices-dashcams,anzacsale/anzacsale-moregreatdeals|smf/smf-selecteddealsnavman12APR22|DY Menus/dy-eastersale,mobilesmartdevices,mobilesmartdevices-incardevices,mobilesmartdevices-incardevices-dashcams,na,na,na,na,all channels,199.99,199.99
N175023,N175023,Nutribullet 900W Black Mega Pack,Nutribullet,8180490211734,na,hot-price|badge_lowstock,na,na,4.6,na,,na,False,appliances/appliances-smallkitchenappliances/appliances-smallkitchenappliances-blenders,appliances-smallkitchenappliances-blenders,MTE-Placeholders/supersale/supersale-appliances/supersale-appliances-smallappliances|boxingday/boxingday-appliances/boxingday-appliances-smallappliancesvacuums|massivesellout/massivesellout-appliances/massivesellout-appliances-smallappliancespersonalcare|fathersday/fathersday-fitdad|MTE-Placeholders/blackfriday/blackfriday-appliances|fathersday/fathersday-chefdad|anzacsale/anzacsale-appliances/anzacsale-appliances-smallappliancesvacuums|fathersday/fathersday-150300|hiddenCategories/fy23-doxing-bay|hotdeals/hotdeals-appliances/hotdeals-appliances-smallappliances|MTE-Placeholders/blackfriday/blackfriday-appliances/blackfriday-appliances-smallappliances|MTE-Placeholders/eastersale/eastersale-appliances/eastersale-appliances-smallappliances|labourweekenddeals/labourweekenddeals-appliances/labourweekenddeals-appliances-smallappliances|giftingguide|waitangisale/waitangisale-appliances/waitangisale-appliances-smallappliances|mothersday/mothersday-foodiemum,appliances,appliances-smallkitchenappliances,appliances-smallkitchenappliances-blenders,na,na,na,na,all channels,175.00,175.00
N219105,N219105,"HP 27"" FHD AMD Ryzen 7 7730U 16GB RAM 512GB SSD Windows 11 All-In-One Bundle PC",HP,197497749397,na,hot-price,na,na,4,na,,na,False,computersofficetech/computersofficetech-computers/computersofficetech-computers-allinonedesktops,computersofficetech-computers-allinonedesktops,boxingday/boxingday-deals/boxingday-deals-20off|MTE-Placeholders/blackfriday/blackfriday-deals/blackfriday-deals-30off|massivesellout/massivesellout-deals/massivesellout-deals-25off|MTE-Placeholders/blackfriday/blackfriday-computersprinters/blackfriday-computers|massivesellout/massivesellout-computersofficetech/massivesellout-computersofficetech-computers|labourweekenddeals/labourweekenddeals-computersofficetech/labourweekenddeals-computersofficetech-computerstablets|labourweekenddeals/labourweekenddeals-deals/labourweekenddeals-deals-25off|computersofficetech/computersofficetech-computers/computersofficetech-computers-desktoppc|MTE-Placeholders/blackfriday/blackfriday-computersofficetech/blackfriday-computersofficetech-computers/blackfriday-computers-1|MTE-Placeholders/blackfriday/blackfriday-computersofficetech/blackfriday-computersofficetech-computers|boxingday/boxingday-computersprinting|hotdeals/hotdeals-computersprinters,computersofficetech,computersofficetech-computers,computersofficetech-computers-allinonedesktops,na,na,na,na,all channels,1649.00,1649.00
N218297,N218297,"Samsung 55"" Q70C QLED 4K Smart TV 2023",Samsung,8806094832822,na,na,na,na,4.6,na,,na,False,homeentertainment/homeentertainment-televisions/homeentertainment-televisions-uhdtvs,homeentertainment-televisions-uhdtvs,boxingday/boxingday-homeentertainment|dailydeals/dailydeals-17Dec23/dailydeals-17Dec23-20poffsamsungtelevisions|MTE-Placeholders/eastersale/eastersale-deals/eastersale-deals-upto25off|hiddenCategories/unmanagedFeeds/unmanagedFeeds-OversizedProducts|massivesellout/massivesellout-televisions|boxingday/boxingday-deals/boxingday-deals-25off|birthdaydeals/birthdaydeals-homeentertainment/birthdaydeals-entertainment-televisions|MTE-Placeholders/blackfriday/blackfriday-homeentertainment|brandstore/brandstore-samsung/brandstoresamsung-tvav/topbrands-samsung-samsungtvandav-samsungtvs|labourweekenddeals/labourweekenddeals-televisions|MTE-Placeholders/eastersale/eastersale-homeentertainment|MTE-Placeholders/supersale/supersale-homeentertainment|MTE-Placeholders/blackfriday/blackfriday-homeentertainment/blackfriday-homeentertainment-televisions|MTE-Placeholders/supersale/supersale-deals/supersale-deals-upto25offsamsunglgtvs|MTE-Placeholders/blackfriday/blackfriday-smarthome|homeentertainment/homeentertainment-televisions/homeentertainment-televisions-qledtvs|brandstore/brandstore-samsung/brandstoresamsung-tvav|dailydeals/dailydeals-17Dec23|MTE-Placeholders/blackfriday/blackfriday-deals/blackfriday-deals-upto30off|MTE-Placeholders/singlesday|MTE-Placeholders/supersale/supersale-deals/supersale-deals-upto25off|labourweekenddeals/labourweekenddeals-deals/labourweekenddeals-deals-upto25off|MTE-Placeholders/eastersale/eastersale-deals/eastersale-deals-upto25offtvshomeaudio,homeentertainment,homeentertainment-televisions,homeentertainment-televisions-uhdtvs,na,na,na,na,all channels,2099.00,2099.00
N223947,N223947,Samsung Galaxy Tab A9+ 11.0 Inch WIFI 128GB Grey,Samsung,8806095279275,na,na,na,na,3.5,na,,na,False,mobilesmartdevices/mobilesmartdevices-tabletsereaders/mobilesmartdevices-tabletsereaders-tablets/mobilesmartdevices-tabletsereaders-tablets-android,mobilesmartdevices-tabletsereaders-tablets-android,MTE-Placeholders/blackfriday/blackfriday-mobilesmartdevices/blackfriday-mobilesmartdevices-tabletsereaders|MTE-Placeholders/blackfriday/blackfriday-mobilephonestablets/blackfriday-mobilephones|byod/byod-androidtablets,mobilesmartdevices,mobilesmartdevices-tabletsereaders,mobilesmartdevices-tabletsereaders-tablets,mobilesmartdevices-tabletsereaders-tablets-android,na,na,na,all channels,539.00,539.00
